seed,candidate_id,candidate_group,layer,head,family,example_id,heldout_family_type,intervention,intervention_status,position_label,position_status,head_specific_patch,actual_patch_scope,metric,clean_score,corrupt_score,patched_score,effect_size,effect_size_status,true_expected_next_token,wrong_or_control_token,clean_prompt,corrupt_prompt,source_run,inspection_bucket
12,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0017,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,4.563760757446289,3.762495478114072,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
10,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0005,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,4.563760757446289,3.762495478114072,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_161445_gpt2_small_induction_heldout_seed10,strongest_positive_success
12,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0003,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.439170837402344,1.1968914824374368,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
11,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0000,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.439170837402344,1.1968914824374368,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
12,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0014,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.489583969116211,4.054357528686523,4.303659439086914,0.5728096623777302,ok, Q, R,R M N O P Q R M N O P,R N P M O Q N R P M O,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
12,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0017,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,4.136501312255859,0.386048474617147,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
10,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0005,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,4.136501312255859,0.386048474617147,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_161445_gpt2_small_induction_heldout_seed10,strongest_positive_success
12,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0009,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,3.950497627258301,3.848965644836426,3.884526252746582,0.3502404568680493,ok, H, I,I J K L G H I J K L G,I K G J L H K I G J L,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
11,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0020,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.156101226806641,3.8494749069213863,3.9412975311279297,0.2994609994370508,ok, T, U,U V W X S T U V W X S,U W S V X T W U S V X,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
12,heldout_cand_001,replicated_candidate,9,11,heldout_symbolic_longer,heldout_symbolic_longer_0022,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.156101226806641,3.8494749069213863,3.9412975311279297,0.2994609994370508,ok, T, U,U V W X S T U V W X S,U W S V X T W U S V X,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
