seed,candidate_id,candidate_group,layer,head,family,example_id,heldout_family_type,intervention,intervention_status,position_label,position_status,head_specific_patch,actual_patch_scope,metric,clean_score,corrupt_score,patched_score,effect_size,effect_size_status,true_expected_next_token,wrong_or_control_token,clean_prompt,corrupt_prompt,source_run,inspection_bucket
12,heldout_cand_000,random_comparison_replicated,7,7,heldout_symbolic_longer,heldout_symbolic_longer_0003,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.383604049682617,2.831556503198294,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
11,heldout_cand_000,random_comparison_replicated,7,7,heldout_symbolic_longer,heldout_symbolic_longer_0000,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.383604049682617,2.831556503198294,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
12,heldout_cand_000,random_comparison_replicated,7,7,heldout_symbolic_longer,heldout_symbolic_longer_0017,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,4.241205215454102,1.2134782346557338,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
10,heldout_cand_000,random_comparison_replicated,7,7,heldout_symbolic_longer,heldout_symbolic_longer_0005,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,4.214191436767578,4.087650299072266,4.241205215454102,1.2134782346557338,ok, N, O,O P Q R M N O P Q R M,O Q M P R N Q O M P R,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_161445_gpt2_small_induction_heldout_seed10,strongest_positive_success
11,heldout_cand_000,random_comparison_replicated,7,7,heldout_word_sequences,heldout_word_sequences_0009,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,-0.6232089996337891,-0.8471832275390625,-0.6877670288085938,0.711761349604435,ok, south, east,east west north south east west north,east west north south north east west west,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
10,heldout_cand_000,random_comparison_replicated,7,7,heldout_word_sequences,heldout_word_sequences_0015,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,1.861449241638184,1.6263370513916016,1.7927751541137695,0.7079092859779421,ok, spring, summer,summer autumn winter spring summer autumn winter,summer autumn winter spring winter summer autumn autumn,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_161445_gpt2_small_induction_heldout_seed10,strongest_positive_success
11,heldout_cand_000,random_comparison_replicated,7,7,heldout_word_sequences,heldout_word_sequences_0003,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,-0.6036148071289062,-0.1544017791748047,-0.371368408203125,0.4829927351316465,ok, east, west,west north south east west north south,west north south east south west north north,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_success
10,heldout_cand_000,random_comparison_replicated,7,7,heldout_word_sequences,heldout_word_sequences_0021,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,-0.6036148071289062,-0.1544017791748047,-0.3604469299316406,0.4586802651188661,ok, east, west,west north south east west north south,west north south east south west north north,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_161445_gpt2_small_induction_heldout_seed10,strongest_positive_success
12,heldout_cand_000,random_comparison_replicated,7,7,heldout_symbolic_longer,heldout_symbolic_longer_0009,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,3.950497627258301,3.848965644836426,3.89317798614502,0.4354523594830177,ok, H, I,I J K L G H I J K L G,I K G J L H K I G J L,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
10,heldout_cand_000,random_comparison_replicated,7,7,heldout_word_sequences,heldout_word_sequences_0015,positive,head_clean_to_corrupt_patch,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,1.861449241638184,1.6263370513916016,1.7253971099853516,0.4213310185654659,ok, spring, summer,summer autumn winter spring summer autumn winter,summer autumn winter spring winter summer autumn autumn,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_161445_gpt2_small_induction_heldout_seed10,strongest_positive_success
12,heldout_cand_000,random_comparison_replicated,7,7,heldout_word_sequences,heldout_word_sequences_0000,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,-0.6036148071289062,-0.1544017791748047,-0.3408641815185547,0.4150868090201556,ok, east, west,west north south east west north south,west north south east south west north north,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
12,heldout_cand_000,random_comparison_replicated,7,7,heldout_symbolic_longer,heldout_symbolic_longer_0003,positive,head_zero_ablation,ok,previous_occurrence,ok,True,single_head_z,true_vs_control_logit_diff,4.445863723754883,4.479856491088867,4.4660491943359375,0.406183368869936,ok, M, N,N O P Q R M N O P Q R,N P R O Q M P N R O Q,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_success
11,heldout_cand_000,random_comparison_replicated,7,7,heldout_word_sequences,heldout_word_sequences_0015,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,1.8854169845581052,2.0148305892944336,2.176539421081543,-1.2495504789977891,ok, west, north,north south east west north south east,north south east west east north south south,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_failure
12,heldout_cand_000,random_comparison_replicated,7,7,heldout_symbolic_longer,heldout_symbolic_longer_0009,positive,head_zero_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,3.950497627258301,3.848965644836426,3.735030174255371,-1.122163360384731,ok, H, I,I J K L G H I J K L G,I K G J L H K I G J L,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162753_gpt2_small_induction_heldout_seed12,strongest_positive_failure
11,heldout_cand_000,random_comparison_replicated,7,7,heldout_word_sequences,heldout_word_sequences_0015,positive,head_mean_ablation,ok,final,ok,True,single_head_z,true_vs_control_logit_diff,1.8854169845581052,2.0148305892944336,2.139237403869629,-0.9613117170228443,ok, west, north,north south east west north south east,north south east west east north south south,/home/home/p/g/n/learning/ml_research/local-mi-lab/runs/20260626_162154_gpt2_small_induction_heldout_seed11,strongest_positive_failure
