counterexample_type,seed,candidate_id,candidate_group,layer,head,family,heldout_family_type,example_id,token_domain,sequence_length_bucket,intervention,position_label,effect_size,effect_size_status,true_expected_next_token,wrong_or_control_token,clean_prompt,corrupt_prompt
strongest_positive_success,21,heldout_cand_003,replicated_candidate,7,0,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,final,0.6247593408836396,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_success,21,heldout_cand_003,replicated_candidate,7,0,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,previous_occurrence,0.4657174537851749,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_success,21,heldout_cand_003,replicated_candidate,7,0,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_mean_ablation,final,0.2703439588625034,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,20,heldout_cand_003,replicated_candidate,7,0,char_word_short,positive,char_word_short_0003,word,short,head_mean_ablation,final,0.2413360608006211,ok, north, south,south east west north south east west,south east west north west east south
strongest_positive_success,21,heldout_cand_003,replicated_candidate,7,0,char_word_short,positive,char_word_short_0002,word,short,head_mean_ablation,final,0.1812103384946172,ok, north, south,south east west north south east west,south east west north west east south
strongest_positive_success,21,heldout_cand_003,replicated_candidate,7,0,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,previous_occurrence,0.180981172044375,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_success,21,heldout_cand_003,replicated_candidate,7,0,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_clean_to_corrupt_patch,final,0.1692971374666939,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_success,21,heldout_cand_003,replicated_candidate,7,0,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,final,0.1281933878735388,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,20,heldout_cand_003,replicated_candidate,7,0,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_zero_ablation,final,-0.1152141308738176,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_failure,22,heldout_cand_003,replicated_candidate,7,0,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_zero_ablation,final,-0.1152141308738176,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
