counterexample_type,seed,candidate_id,candidate_group,layer,head,family,heldout_family_type,example_id,token_domain,sequence_length_bucket,intervention,position_label,effect_size,effect_size_status,true_expected_next_token,wrong_or_control_token,clean_prompt,corrupt_prompt
strongest_positive_success,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_clean_to_corrupt_patch,final,0.4336695160708884,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,20,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,final,0.4334777412221003,ok, dog, bird,bird fish horse cat dog bird fish horse cat bird cat,bird fish horse cat dog cat horse fish bird
strongest_positive_success,22,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0010,symbolic,medium,head_zero_ablation,final,0.4334777412221003,ok, dog, bird,bird fish horse cat dog bird fish horse cat bird cat,bird fish horse cat dog cat horse fish bird
strongest_positive_success,21,heldout_cand_002,replicated_candidate,7,11,char_word_short,positive,char_word_short_0008,word,short,head_zero_ablation,final,0.3404045757191024,ok, green, yellow,yellow red blue green yellow red blue,yellow red blue green blue red yellow
strongest_positive_success,22,heldout_cand_002,replicated_candidate,7,11,char_word_short,positive,char_word_short_0001,word,short,head_zero_ablation,final,0.3404045757191024,ok, green, yellow,yellow red blue green yellow red blue,yellow red blue green blue red yellow
strongest_positive_success,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_mean_ablation,final,0.302595540675487,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,22,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0006,symbolic,medium,head_mean_ablation,final,0.2796254455867297,ok, green, black,black white red blue green black white red blue black blue,black white red blue green blue red white black
strongest_positive_success,21,heldout_cand_002,replicated_candidate,7,11,char_number_short,positive,char_number_short_0003,number,short,head_zero_ablation,final,0.2755969546595004,ok, seven, nine,nine three five seven nine three five,nine three five seven five three nine
strongest_positive_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_clean_to_corrupt_patch,final,-1.368885603482041,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,final,-1.2629900757421126,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,final,-0.9231049301330038,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,previous_occurrence,-0.9210307105856912,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,previous_occurrence,-0.9070186955586326,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,20,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_zero_ablation,final,-0.7294111753219035,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_failure,22,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_zero_ablation,final,-0.7294111753219035,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_clean_to_corrupt_patch,previous_occurrence,-0.660181052887082,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
control_moved,20,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_zero_ablation,final,2.8701169562952797,ok, B, C,L M J K L M J,C D A B C D A
control_moved,22,heldout_cand_002,replicated_candidate,7,11,char_reversed_control,control,char_reversed_control_0003,symbolic,short,head_clean_to_corrupt_patch,final,0.6611615959499338,ok, Q, R,K L M J K L M,R N P Q P N R
control_moved,20,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_clean_to_corrupt_patch,final,0.5886642359960226,ok, B, C,L M J K L M J,C D A B C D A
control_moved,22,heldout_cand_002,replicated_candidate,7,11,char_reversed_control,control,char_reversed_control_0003,symbolic,short,head_mean_ablation,final,0.4029633678539009,ok, Q, R,K L M J K L M,R N P Q P N R
control_moved,21,heldout_cand_002,replicated_candidate,7,11,char_reversed_control,control,char_reversed_control_0008,symbolic,short,head_zero_ablation,final,0.3217754167067742,ok, B, C,P Q R N P Q R,C D A B A D C
control_moved,21,heldout_cand_002,replicated_candidate,7,11,char_reversed_control,control,char_reversed_control_0010,symbolic,short,head_zero_ablation,final,0.1290515299861094,ok, A, B,B C D A B C D,B C D A D C B
control_moved,22,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0004,symbolic,short,head_zero_ablation,final,0.1176253528281361,ok, N, P,B C D A B C D,P Q R N P Q R
control_moved,21,heldout_cand_002,replicated_candidate,7,11,char_reversed_control,control,char_reversed_control_0008,symbolic,short,head_clean_to_corrupt_patch,final,0.1168404950270953,ok, B, C,P Q R N P Q R,C D A B A D C
wrong_target_control_moved,20,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_zero_ablation,final,2.8701169562952797,ok, B, C,L M J K L M J,C D A B C D A
wrong_target_control_moved,20,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_clean_to_corrupt_patch,final,0.5886642359960226,ok, B, C,L M J K L M J,C D A B C D A
wrong_target_control_moved,22,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0004,symbolic,short,head_zero_ablation,final,0.1176253528281361,ok, N, P,B C D A B C D,P Q R N P Q R
wrong_target_control_moved,22,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0004,symbolic,short,head_mean_ablation,final,0.1047358441438117,ok, N, P,B C D A B C D,P Q R N P Q R
wrong_target_control_moved,21,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_zero_ablation,final,0.0976339657740808,ok, N, P,N P Q R N P Q,P Q R N P Q R
wrong_target_control_moved,20,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0011,symbolic,short,head_zero_ablation,final,0.0914819151332844,ok, R, N,M J K L M J K,N P Q R N P Q
wrong_target_control_moved,22,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0004,symbolic,short,head_clean_to_corrupt_patch,final,0.0806924137358169,ok, N, P,B C D A B C D,P Q R N P Q R
wrong_target_control_moved,21,heldout_cand_002,replicated_candidate,7,11,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_mean_ablation,final,0.0690107127538055,ok, N, P,N P Q R N P Q,P Q R N P Q R
token_domain_or_length_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_clean_to_corrupt_patch,final,-1.368885603482041,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
token_domain_or_length_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,final,-1.2629900757421126,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
token_domain_or_length_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,final,-0.9231049301330038,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
token_domain_or_length_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,previous_occurrence,-0.9210307105856912,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
token_domain_or_length_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,previous_occurrence,-0.9070186955586326,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
token_domain_or_length_failure,20,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_zero_ablation,final,-0.7294111753219035,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
token_domain_or_length_failure,22,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_zero_ablation,final,-0.7294111753219035,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
token_domain_or_length_failure,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_clean_to_corrupt_patch,previous_occurrence,-0.660181052887082,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
position_intervention_mismatch,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,final,-1.2629900757421126,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
position_intervention_mismatch,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,previous_occurrence,-0.9210307105856912,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
position_intervention_mismatch,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,previous_occurrence,-0.9070186955586326,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
position_intervention_mismatch,21,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_clean_to_corrupt_patch,previous_occurrence,-0.660181052887082,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
position_intervention_mismatch,22,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_mean_ablation,final,-0.3039715946391352,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
position_intervention_mismatch,20,heldout_cand_002,replicated_candidate,7,11,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_mean_ablation,final,-0.3029226753391245,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
position_intervention_mismatch,20,heldout_cand_002,replicated_candidate,7,11,char_number_short,positive,char_number_short_0001,number,short,head_mean_ablation,final,-0.1422640373697686,ok, twelve, thirteen,thirteen ten eleven twelve thirteen ten eleven,thirteen ten eleven twelve eleven ten thirteen
position_intervention_mismatch,22,heldout_cand_002,replicated_candidate,7,11,char_number_short,positive,char_number_short_0009,number,short,head_mean_ablation,final,-0.1255971906042223,ok, eleven, twelve,twelve thirteen ten eleven twelve thirteen ten,twelve thirteen ten eleven ten thirteen twelve
