counterexample_type,seed,candidate_id,candidate_group,layer,head,family,heldout_family_type,example_id,token_domain,sequence_length_bucket,intervention,position_label,effect_size,effect_size_status,true_expected_next_token,wrong_or_control_token,clean_prompt,corrupt_prompt
strongest_positive_success,21,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,final,0.6623931859681255,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_success,21,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,final,0.6610306002548643,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_success,21,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_clean_to_corrupt_patch,final,0.3771738274694721,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,21,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_mean_ablation,final,0.3556085473839486,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,21,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_zero_ablation,final,0.3048496500743773,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,21,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_clean_to_corrupt_patch,final,0.2519349268782444,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_success,20,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0007,symbolic,medium,head_clean_to_corrupt_patch,final,0.1038181545908188,ok, red, blue,blue green black white red blue green black white blue white,blue green black white red white black green blue
strongest_positive_success,20,heldout_cand_000,random_comparison_replicated,7,7,char_symbolic_short,positive,char_symbolic_short_0010,symbolic,short,head_zero_ablation,final,0.0945045484178628,ok, H, E,E F G H E F G,E F G H G F E
strongest_positive_failure,20,heldout_cand_000,random_comparison_replicated,7,7,char_word_short,positive,char_word_short_0003,word,short,head_zero_ablation,final,-0.3867558568378301,ok, north, south,south east west north south east west,south east west north west east south
strongest_positive_failure,21,heldout_cand_000,random_comparison_replicated,7,7,char_word_short,positive,char_word_short_0002,word,short,head_zero_ablation,final,-0.3867558568378301,ok, north, south,south east west north south east west,south east west north west east south
strongest_positive_failure,22,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_mean_ablation,final,-0.2945824622780439,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_failure,20,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_mean_ablation,final,-0.2937088847117663,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_failure,20,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0007,symbolic,medium,head_zero_ablation,final,-0.2655849206080836,ok, red, blue,blue green black white red blue green black white blue white,blue green black white red white black green blue
strongest_positive_failure,20,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_zero_ablation,final,-0.2615743809027803,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_failure,22,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_zero_ablation,final,-0.2615743809027803,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
strongest_positive_failure,20,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_clean_to_corrupt_patch,final,-0.226935571266719,ok, dog, bird,bird fish horse cat dog bird fish horse cat bird cat,bird fish horse cat dog cat horse fish bird
control_moved,20,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_clean_to_corrupt_patch,final,1.0169673437820603,ok, B, C,L M J K L M J,C D A B C D A
control_moved,20,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_zero_ablation,final,0.5231623972094638,ok, B, C,L M J K L M J,C D A B C D A
control_moved,22,heldout_cand_000,random_comparison_replicated,7,7,char_reversed_control,control,char_reversed_control_0000,symbolic,short,head_zero_ablation,final,0.3674001126711735,ok, J, K,R N P Q R N P,K L M J M L K
control_moved,21,heldout_cand_000,random_comparison_replicated,7,7,char_reversed_control,control,char_reversed_control_0008,symbolic,short,head_clean_to_corrupt_patch,final,0.1641904038420013,ok, B, C,P Q R N P Q R,C D A B A D C
control_moved,22,heldout_cand_000,random_comparison_replicated,7,7,char_reversed_control,control,char_reversed_control_0000,symbolic,short,head_mean_ablation,final,0.1317873548275264,ok, J, K,R N P Q R N P,K L M J M L K
control_moved,22,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0009,symbolic,short,head_zero_ablation,final,0.051981049236594,ok, F, G,D A B C D A B,G H E F G H E
control_moved,21,heldout_cand_000,random_comparison_replicated,7,7,char_reversed_control,control,char_reversed_control_0008,symbolic,short,head_mean_ablation,final,0.0517998974980683,ok, B, C,P Q R N P Q R,C D A B A D C
control_moved,21,heldout_cand_000,random_comparison_replicated,7,7,char_reversed_control,control,char_reversed_control_0008,symbolic,short,head_zero_ablation,final,0.0392720281594139,ok, B, C,P Q R N P Q R,C D A B A D C
wrong_target_control_moved,20,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_clean_to_corrupt_patch,final,1.0169673437820603,ok, B, C,L M J K L M J,C D A B C D A
wrong_target_control_moved,20,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0003,symbolic,short,head_zero_ablation,final,0.5231623972094638,ok, B, C,L M J K L M J,C D A B C D A
wrong_target_control_moved,22,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0009,symbolic,short,head_zero_ablation,final,0.051981049236594,ok, F, G,D A B C D A B,G H E F G H E
wrong_target_control_moved,20,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0011,symbolic,short,head_clean_to_corrupt_patch,final,0.0329867291971412,ok, R, N,M J K L M J K,N P Q R N P Q
wrong_target_control_moved,21,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0008,symbolic,short,head_zero_ablation,final,0.0125740974957265,ok, B, C,P Q R N P Q R,C D A B C D A
wrong_target_control_moved,21,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0002,symbolic,short,head_clean_to_corrupt_patch,final,0.0107701997224812,ok, G, H,F G H E F G H,H E F G H E F
wrong_target_control_moved,20,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0011,symbolic,short,head_mean_ablation,final,0.0096059162798175,ok, R, N,M J K L M J K,N P Q R N P Q
wrong_target_control_moved,20,heldout_cand_000,random_comparison_replicated,7,7,char_target_swap_control,control,char_target_swap_control_0007,symbolic,short,head_clean_to_corrupt_patch,final,0.0085236251740912,ok, K, L,G H E F G H E,L M J K L M J
token_domain_or_length_failure,20,heldout_cand_000,random_comparison_replicated,7,7,char_word_short,positive,char_word_short_0003,word,short,head_zero_ablation,final,-0.3867558568378301,ok, north, south,south east west north south east west,south east west north west east south
token_domain_or_length_failure,21,heldout_cand_000,random_comparison_replicated,7,7,char_word_short,positive,char_word_short_0002,word,short,head_zero_ablation,final,-0.3867558568378301,ok, north, south,south east west north south east west,south east west north west east south
token_domain_or_length_failure,21,heldout_cand_000,random_comparison_replicated,7,7,char_word_long,positive,char_word_long_0011,word,long,head_mean_ablation,final,-0.1445188934583121,ok, red, blue,blue green yellow black white red blue green yellow black white,blue green yellow black white red white black yellow green blue
token_domain_or_length_failure,20,heldout_cand_000,random_comparison_replicated,7,7,char_word_long,positive,char_word_long_0004,word,long,head_zero_ablation,final,-0.1341932903354832,ok, red, blue,blue green yellow black white red blue green yellow black white,blue green yellow black white red white black yellow green blue
token_domain_or_length_failure,21,heldout_cand_000,random_comparison_replicated,7,7,char_word_long,positive,char_word_long_0011,word,long,head_zero_ablation,final,-0.1341932903354832,ok, red, blue,blue green yellow black white red blue green yellow black white,blue green yellow black white red white black yellow green blue
token_domain_or_length_failure,20,heldout_cand_000,random_comparison_replicated,7,7,char_word_long,positive,char_word_long_0004,word,long,head_mean_ablation,final,-0.1293450252860491,ok, red, blue,blue green yellow black white red blue green yellow black white,blue green yellow black white red white black yellow green blue
token_domain_or_length_failure,21,heldout_cand_000,random_comparison_replicated,7,7,char_number_short,positive,char_number_short_0003,number,short,head_mean_ablation,final,-0.1240863808129464,ok, seven, nine,nine three five seven nine three five,nine three five seven five three nine
token_domain_or_length_failure,21,heldout_cand_000,random_comparison_replicated,7,7,char_word_short,positive,char_word_short_0003,word,short,head_zero_ablation,final,-0.1089581101004331,ok, west, north,north south east west north south east,north south east west east south north
position_intervention_mismatch,20,heldout_cand_000,random_comparison_replicated,7,7,char_word_short,positive,char_word_short_0003,word,short,head_zero_ablation,final,-0.3867558568378301,ok, north, south,south east west north south east west,south east west north west east south
position_intervention_mismatch,21,heldout_cand_000,random_comparison_replicated,7,7,char_word_short,positive,char_word_short_0002,word,short,head_zero_ablation,final,-0.3867558568378301,ok, north, south,south east west north south east west,south east west north west east south
position_intervention_mismatch,22,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_mean_ablation,final,-0.2945824622780439,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
position_intervention_mismatch,20,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_mean_ablation,final,-0.2937088847117663,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
position_intervention_mismatch,20,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0007,symbolic,medium,head_zero_ablation,final,-0.2655849206080836,ok, red, blue,blue green black white red blue green black white blue white,blue green black white red white black green blue
position_intervention_mismatch,20,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0005,symbolic,medium,head_zero_ablation,final,-0.2615743809027803,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
position_intervention_mismatch,22,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0001,symbolic,medium,head_zero_ablation,final,-0.2615743809027803,ok, horse, cat,cat dog bird fish horse cat dog bird fish cat fish,cat dog bird fish horse fish bird dog cat
position_intervention_mismatch,21,heldout_cand_000,random_comparison_replicated,7,7,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_mean_ablation,previous_occurrence,-0.1943753344403193,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
