counterexample_type,seed,candidate_id,candidate_group,layer,head,family,heldout_family_type,example_id,token_domain,sequence_length_bucket,intervention,position_label,effect_size,effect_size_status,true_expected_next_token,wrong_or_control_token,clean_prompt,corrupt_prompt
strongest_positive_success,20,heldout_cand_004,replicated_candidate,0,8,char_word_short,positive,char_word_short_0003,word,short,head_mean_ablation,final,0.5126364355785167,ok, north, south,south east west north south east west,south east west north west east south
strongest_positive_success,21,heldout_cand_004,replicated_candidate,0,8,char_word_short,positive,char_word_short_0002,word,short,head_mean_ablation,final,0.4805787406865453,ok, north, south,south east west north south east west,south east west north west east south
strongest_positive_success,21,heldout_cand_004,replicated_candidate,0,8,char_multi_distractor,positive,char_multi_distractor_0011,symbolic,medium,head_clean_to_corrupt_patch,final,0.4765431740677973,ok, fish, horse,horse cat dog bird fish horse cat dog bird horse bird,horse cat dog bird fish bird dog cat horse
strongest_positive_success,21,heldout_cand_004,replicated_candidate,0,8,char_word_short,positive,char_word_short_0003,word,short,head_zero_ablation,final,0.4451000476754669,ok, west, north,north south east west north south east,north south east west east south north
strongest_positive_success,20,heldout_cand_004,replicated_candidate,0,8,char_number_short,positive,char_number_short_0001,number,short,head_zero_ablation,previous_occurrence,0.4024327730341773,ok, twelve, thirteen,thirteen ten eleven twelve thirteen ten eleven,thirteen ten eleven twelve eleven ten thirteen
strongest_positive_success,20,heldout_cand_004,replicated_candidate,0,8,char_number_short,positive,char_number_short_0002,number,short,head_zero_ablation,final,0.3967985748862188,ok, three, five,five seven nine three five seven nine,five seven nine three nine seven five
strongest_positive_success,20,heldout_cand_004,replicated_candidate,0,8,char_word_long,positive,char_word_long_0010,word,long,head_zero_ablation,final,0.3684092867878529,ok, beta, gamma,gamma delta omega lambda alpha beta gamma delta omega lambda alpha,gamma delta omega lambda alpha beta alpha lambda omega delta gamma
strongest_positive_success,20,heldout_cand_004,replicated_candidate,0,8,char_multi_distractor,positive,char_multi_distractor_0007,symbolic,medium,head_zero_ablation,final,0.3655095622937911,ok, red, blue,blue green black white red blue green black white blue white,blue green black white red white black green blue
strongest_positive_failure,21,heldout_cand_004,replicated_candidate,0,8,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,final,-3.7637761828843783,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
strongest_positive_failure,21,heldout_cand_004,replicated_candidate,0,8,char_multi_distractor,positive,char_multi_distractor_0000,symbolic,medium,head_zero_ablation,previous_occurrence,-1.3752958245298528,ok, Y, A,A B C X Y A B C X A X,A B C X Y X C B A
